Endereço,Preço,Condominio,Iptu,Lista Comodos,Lista Caracteristicas,Obserevacoes,url_id_anuncio
"Jardim Vale do Sol, São José dos Campos - SP",R$ 390.000,condomínio não informado,IPTU não informado,"['', '', '', '', '99 m²', '3 quartos', '2 vagas', '2 banheiros']",[],A casa está localizado no bairro Jardim Vale do Sol com 99 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-vale-do-sol-sao-jose-dos-campos-sp-99m2-id-2550640639/
"Rua Toshiyassu Watanabe - Jardim dos Bandeirantes, São José dos Campos - SP",R$ 390.000,condomínio não informado,IPTU R$ 30,"['', '', '', '', '160 m²', '3 quartos', '3 vagas', '3 banheiros']","['Área de serviço', 'Churrasqueira', 'Cozinha', 'Lavanderia', 'Quintal']","Excelente Casa térrea em rua Publica ( Locado, com INQUILÍNO ) no Bairro Jardim dos Bandeirantes com Dois dormitórios sendo uma suíte com closet REVERSÍVEL PARA UM QUARTO.
Os Quartos com Varanda e armário em um dos quartos.
Sala de Jantar e Star com Painel e Raque

- Área construída 160m²
- 2 Quartos ( um com Closet com opção de tranformar em Quarto )
- 3 Banheiros
- 3 Vagas na Garagem (Coberta)
- Garagem com Portão Eletrônico
- Armarios em todos Cômodos
- Lavanderia
- Varanda nos Quartos
- Churrasqueira
- Quintal -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-dos-bandeirantes-sao-jose-dos-campos-sp-160m2-id-2553590815/
"Rua Brumado, 142 - Jardim Vale do Sol, São José dos Campos - SP",R$ 390.000,condomínio não informado,IPTU não informado,"['', '', '', '', '131 m²', '2 quartos', '2 vagas', '3 banheiros']",[],"Casa Zona Sul de SJC!
3 Dormitórios
3 Banheiros
Garagem Coberta
Sala para 2 ambientes
Área de Serviço Coberta
Excelente acabamento e localização!
Sobrado com 3 dormitórios, sendo 2 suítes ( 1 suíte com varanda).
WC Social, área de serviço e garagem cobertas, piso interno e externo em porcelanato.
Com variedade de comércios na região, fácil acesso as principais vias urbanas e anel viário 184
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-vale-do-sol-sao-jose-dos-campos-sp-131m2-id-2553580296/
"Rua Santarem, 90 - Parque Industrial, São José dos Campos - SP",R$ 390.000,condomínio não informado,IPTU não informado,"['', '', '', '', '110 m²', '3 quartos', '3 vagas', '2 banheiros']",[],"Casa - Parque Industrial - 3 Dormitórios - 110m².

Esta casa está localizada no Parque Industrial, possui fácil acesso às principais vias da cidade.

Conheça um pouco mais das características desta linda casa:

- Área do terreno: 165m²
- Área construída: 110m²

- 3 Dormitórios sendo uma suíte
- Sala
- Cozinha com armários
- Banheiro
- Área de serviço
- Quintal
- Vaga de garagem com 3 vagas

Diferenciais Exclusivos:

- Armários
- Local privilegiado, próximo ao Hospital, fácil acesso à Dutra.

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis no Jardim Sul, Parque Industrial, Jardim Oriente, Jardim Colonial, Floradas de São José, 31 de Março, Jardim República, Jardim América, Jardim Satélite, Bosque dos Ypês, Bosque dos Eucaliptos, Quinta das Flores, Jardim Morumbi, Vila São Bento, Jardim Anhembi, casas e apartamentos próximos ao Shopping Vale Sul, além de pontos comerciais localizados na Zona Sul.
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-parque-industrial-sao-jose-dos-campos-sp-110m2-id-2543500939/
"Rua Frutal, 203 - Bosque dos Eucaliptos, São José dos Campos - SP",R$ 390.000,condomínio não informado,IPTU não informado,"['', '', '', '', '120 m²', '3 quartos', '2 vagas', '2 banheiros']","['Aceita animais', 'Varanda gourmet']","Esta casa está localizada no Bosque dos Eucaliptos, possui fácil acesso às principais vias da cidade.

Conheça um pouco mais das características desta linda casa:

- 120m²
- 3 Dormitórios
- 1 suite
- Banheiros com box

Diferenciais Exclusivos:

Casa antes do sesi

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis no Jardim Sul, Parque Industrial, Jardim Oriente, Jardim Colonial, Floradas de São José, 31 de Março, Jardim República, Jardim América, Jardim Satélite, Bosque dos Eucaliptos, Quinta das Flores, Jardim Morumbi, Vila São Bento, Jardim Anhembi, casas e apartamentos próximos ao Shopping Vale Sul, além de pontos comerciais localizados na Zona Sul.

Seja para vender, alugar ou adquirir um imóvel procure o O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.
Vem você também para o Grupo Kaza, excelência em consultoria imobiliária.

O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-varanda-gourmet-bosque-dos-eucaliptos-sao-jose-dos-campos-sp-120m2-id-2552644279/
"Rua Antônio de Paula Portes - Residencial União, São José dos Campos - SP",R$ 390.000,condomínio não informado,IPTU não informado,"['', '', '', '', '125 m²', '3 quartos', '2 vagas', '3 banheiros']",[],A casa está localizado no bairro Residencial União tem 125 metros quadrados com 3 quartos sendo 1 suite e 3 banheiros,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-uniao-sao-jose-dos-campos-sp-125m2-id-2553149051/
"Rua Wilma Vinhas Santos - Jardim Portugal, São José dos Campos - SP",R$ 390.000,condomínio não informado,IPTU R$ 45,"['', '', '', '', '90 m²', '2 quartos', '2 vagas', '2 banheiros']","['Área de serviço', 'Cozinha', 'TV a cabo']","Descrição:
Ótima casa, zona sul de SJC,
02 quartos, 02 wc, closet com armários, quartos com armários planejados, cozinha planejada, área de serviço coberta, garagem para 02 carros coberta, moveis de 1 linha.
Casa com ótimo estado de conservação. Bairro residencial e próximo de praça com lazer.
localização excelente, proximidade com Bosque dos Eucaliptos e Satélite, região com comércios em geral, boa vizinha, segundo proprietário.
""Anúncio sujeito a alteração sem aviso prévio do proprietário no que diz respeito ao preço e disponibilidade, na data da consulta pelo interessado"". -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-jardim-portugal-sao-jose-dos-campos-sp-90m2-id-2554098591/
"Rua Apa, 250 - Vila São Bento, São José dos Campos - SP",R$ 390.000,condomínio R$ 250,IPTU R$ 500,"['', '', '', '', '80 m²', '3 quartos', '2 vagas', '3 banheiros']","['Aceita animais', 'Condomínio fechado', 'Jardim', 'Portão eletrônico', 'Portaria 24h']","- Excelente sobrado com 03 dormitórios - 80 m² com ótima localização na zona sul de São José dos Campos

* Sala de estar
* Sacada
* Cozinha planejada
* Área de serviço
* 3 dormitórios
* 3 banheiros, sendo 02 com box blindex
* 2 vaga de garagem

- Detalhes do condomínio

* Portaria
* Segurança 24h
* Permitido animais
* Área verde pra fazer caminhada
* Área de Churrasco completa

Agende sua visita!!
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-vila-sao-bento-sao-jose-dos-campos-sp-80m2-id-2553091711/
"Rua Gandu - Jardim Vale do Sol, São José dos Campos - SP",R$ 390.000,condomínio não informado,IPTU não informado,"['', '', '', '', '120 m²', '3 quartos', '2 vagas', '2 banheiros']","['Área de serviço', 'Condomínio fechado', 'Cozinha', 'Garagem', 'Varanda']","Excelente Casa Assobradada no Vale do Sol;
Descrição do imóvel:
- 3 Dormitórios, sendo 2 Suítes;
- Varanda;
- Sala Ampla;
- Cozinha;
- Banheiro social;
- 2 Vagas de Garagem (Cobertas);
- Quintal nos fundos;
- Área de serviço;

Ótima localização!

Aceita Financiamento e FGTS!

Faça sua simulação e agende uma visita!

RIVIEL IMÓVEIS | CRECI: 36.046-J
Ricardo Ribeiro | Corretor de Imóveis | CRECI: 53.606-F
(WhatsApp 24h)Oportunidade!
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-vale-do-sol-sao-jose-dos-campos-sp-120m2-id-2550435201/
"Rua Ouvídio Machado da Silva - Residencial União, São José dos Campos - SP",R$ 390.000,condomínio não informado,IPTU R$ 416,"['', '', '', '', '157 m²', '3 quartos', '2 vagas', '2 banheiros']","['Ar-condicionado', 'Churrasqueira', 'Cozinha', 'Garagem', 'Quintal']","Acabamento de primeira, localização muito boa, rua sem saída, próximo faculdade Anhanguera, supermercados, comercio em geral, fácil acesso para rodovias, acabamento diferenciado, de bom gosto, garagens 2 carros cobertas, portão automatizado, paredes externas com acabamento em grafiato, no piso térreo, sala, piso frio porcelanato, teto com sanca, banheiro social, pia com gabinete, copa e cozinha com armários, fogão coocktoop, forno, com quintal livre ,
churrasqueira. jardim, No piso superior, 3 dormitórios, banheiro com box e gabinete, amplo terraço coberto, Estuda proposta, aceita apto como parte de pagamento no Residencial Vale das Flores com2 garagens.

Características do imóvel
Ar condicionado
Área de serviço
Armário de cozinha
Churrasqueira
Copa
Cozinha
Entrada lateral
Granito
Piso frio
Quintal
Sala de estar
Sol da manhã
Sol da tarde
Terraço

Mais informações em www.landimimoveis.com.br
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-residencial-uniao-sao-jose-dos-campos-sp-157m2-id-2501172091/
