Endereço,Preço,Condominio,Iptu,Lista Comodos,Lista Caracteristicas,Obserevacoes,url_id_anuncio
"Jardim República, São José dos Campos - SP",R$ 230.000,condomínio não informado,IPTU não informado,"['', '', '', '', '54 m²', '2 quartos', '2 vagas', '1 banheiro']",['Varanda'],"CASA TODA EM PISO FRIO, BALCAO AMERICA COM GRANITO PRETO REF 35873 - R$ R$ 230.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Atualizado em",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-varanda-jardim-republica-sao-jose-dos-campos-sp-54m2-id-2545480683/
"Residencial Altos do Bosque, São José dos Campos - SP",R$ 230.000,condomínio não informado,IPTU não informado,"['', '', '', '', '150 m²', '2 quartos', '2 vagas', '1 banheiro']",[],"A casa no bairro Residencial Altos do Bosque com 150 metros quadrados com 2 quartos e 1 banheiro cozinha 2 vagas de garagem próximo de escolas padaria e comércios excelente localização .

Venha fazer uma visita !!!!",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-residencial-altos-do-bosque-sao-jose-dos-campos-sp-150m2-id-2488701178/
"Jardim República, São José dos Campos - SP",R$ 230.000,condomínio não informado,IPTU não informado,"['', '', '', '', '54 m²', '2 quartos', '2 vagas', '1 banheiro']","['Área de serviço', 'Cozinha']","Casa Jd. República em São José dos Campos / SP
02 Dormitórios
Cozinha
Sala
Banheiro
02 Vagas de Garagens -",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-jardim-republica-sao-jose-dos-campos-sp-54m2-id-2549530105/
"Campos de Sao Jose, São José dos Campos - SP",R$ 230.000,condomínio não informado,IPTU não informado,"['', '', '', '', '90 m²', '2 quartos', '2 vagas', '1 banheiro']","['Área de serviço', 'Varanda']","REF 57963 - R$ R$ 230.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Atualizado em 9:44",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-varanda-campos-de-sao-jose-sao-jose-dos-campos-sp-90m2-id-2498326801/
"Jardim Americano, São José dos Campos - SP",R$ 230.000,condomínio não informado,IPTU não informado,"['', '', '', '', '66 m²', '2 quartos', '1 vaga', '1 banheiro']","['Área de serviço', 'Varanda']","PISO FRIO, DORM NA PARTE SUPERIOR, GARAGEM COBERTA REF 88953 - R$ R$ 230.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Atualizado em 9:37",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-varanda-jardim-americano-sao-jose-dos-campos-sp-66m2-id-2534137909/
"Parque Interlagos, São José dos Campos - SP",R$ 230.000,condomínio não informado,IPTU não informado,"['', '', '', '', '75 m²', '2 quartos', '1 vaga', '1 banheiro']","['Área de serviço', 'Churrasqueira', 'Varanda']","Ref. 55076 R$ 230.000,00 Maciel Negócios Imobiliários Creci Atualizado em 9:37",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-parque-interlagos-sao-jose-dos-campos-sp-75m2-id-2534136786/
"Jardim Torrao De Ouro, São José dos Campos - SP",R$ 230.125,condomínio não informado,IPTU não informado,"['', '', '', '', '125 m²', '2 quartos', '2 vagas', '2 banheiros']","['Área de serviço', 'Cozinha', 'TV a cabo']","Linda casa
2 dormitórios sendo 1 suíte.
Garagem coberta para dois carros.
Sala ampla.
Cozinha espaçosa.
Casa bem arejada.
Próxima a escolas, mercados e comércios.
Ótima localização.
Bairro tranquilo.
Somente venda
Não perca essa oportunidade.
Os melhores imóveis residenciais ou comerciais. Nas regiões do Vale do Paraíba, Litoral Norte e Serra da Mantiqueira - Casas, Apartamentos, Terrenos, Chácaras, sítios e Fazendas.
Para mais informações WhatsApp
Vendas: Imobiliária EDK Imóveis - CRECI: 27780-J -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-jardim-torrao-de-ouro-sao-jose-dos-campos-sp-125m2-id-2547486880/
"Rua Robert Marden Oliveira de Mello, 251 - Parque Interlagos, São José dos Campos - SP",R$ 230.900,condomínio não informado,IPTU não informado,"['', '', '', '177 m²', '2 quartos', '1 banheiro']",[],"2 quartos, suite, WC, sala, cozinha.AÇÃO 00018027620164036103 8ª VARA FEDERAL SAO JOSE DOS CAMPOS/SPBaixar matrícula do imóvelRUA ROBERT MARDEN OLIVEIRA DE MELLO,N. 251 LT 11 QD S-10, JARDIM TORRAO DE OURO - CEP: 12229-810, SAO JOSE DOS CAMPOS - SAO PAULO",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-parque-interlagos-sao-jose-dos-campos-sp-177m2-id-2548456558/
"Buquirinha, São José dos Campos - SP",R$ 232.140,condomínio não informado,IPTU R$ 185,"['', '', '', '360 m²', '3 quartos', '2 banheiros']",['TV a cabo'],"Grande sobrado situado em enorme terreno
3 dormitórios
2 banheiros
1 cozinha iluminada com grande janela
- Lago às proximidades -",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-tv-a-cabo-buquirinha-sao-jose-dos-campos-sp-360m2-id-2547485323/
"Rua José Alencar Ribeiro, 12 - Jardim Santa Júlia, São José dos Campos - SP",R$ 233.000,condomínio não informado,IPTU não informado,"['', '', '', '', '60 m²', '2 quartos', '2 vagas', '1 banheiro']",[],"Terreno: 162m²
Área útil: 60m²

2 dorms
1 wc social
2 vagas, descobertas
Quintal amplo no fundo, com 9m de comprimento

Aceita financiamento e FGTS
Aceita terreno como parte do pgto",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-santa-julia-sao-jose-dos-campos-sp-60m2-id-2551046617/
